date,fii_net,dii_net
2015-01-09,0.0,0.0
2015-01-12,838.7427915823697,-670.9942332658958
2015-01-13,-409.83360455409957,327.86688364327966
2015-01-14,-289.92750307087476,231.9420024566998
2015-01-15,3138.3668667611773,-2510.6934934089422
2015-01-19,1580.4589210686393,-1264.3671368549115
2015-01-20,2472.720255429639,-1978.1762043437113
2015-01-21,635.1215302746738,-508.097224219739
2015-01-22,586.9008541426912,-469.52068331415296
2015-01-23,1050.249937230363,-840.1999497842904
2015-01-27,1371.0468008908183,-1096.8374407126546
2015-01-28,43.79955526604418,-35.03964421283535
2015-01-29,730.9022320025282,-584.7217856020226
2015-01-30,-2157.7730106589756,1726.2184085271806
2015-02-02,-396.1933695707853,316.95469565662825
2015-02-03,-878.0254939959042,702.4203951967233
2015-02-04,-560.7861295467143,448.6289036373714
2015-02-05,-250.46046855905502,200.368374847244
2015-02-06,-575.9017863300797,460.72142906406384
2015-02-09,-3507.9678132484305,2806.3742505987448
2015-02-10,409.8355749216614,-327.86845993732913
2015-02-11,569.7083298523596,-455.7666638818877
2015-02-12,1331.7354704774568,-1065.3883763819656
2015-02-13,1055.7980672574386,-844.6384538059509
2015-02-16,-347.3257355280376,277.8605884224301
2015-02-18,531.4168387402451,-425.1334709921961
2015-02-19,368.1668304907407,-294.5334643925926
2015-02-20,-1735.9443922759033,1388.7555138207226
2015-02-23,-2099.8633844912765,1679.8907075930213
2015-02-24,-300.5424799551184,240.43398396409472
2015-02-25,-46.36869785235818,37.09495828188655
2015-02-26,-1150.0853289474767,920.0682631579814
2015-02-27,3555.0486270964566,-2844.0389016771655
2015-02-28,2937.905836262882,-2350.3246690103056
2015-03-02,2146.450160625106,-1717.160128500085
2015-03-03,1820.9082126730095,-1456.7265701384076
2015-03-04,-232.46002760940382,185.96802208752308
2015-03-05,1359.6315791140255,-1087.7052632912205
2015-03-09,-2592.195423539587,2073.75633883167
2015-03-10,350.07517726047035,-280.0601418083763
2015-03-11,243.83222252646743,-195.06577802117397
2015-03-12,1847.1053274652118,-1477.6842619721695
2015-03-13,-1337.8852784325072,1070.3082227460059
2015-03-16,90.78502722799874,-72.62802178239899
2015-03-17,1863.3818467224655,-1490.7054773779726
2015-03-18,-391.84955767401954,313.4796461392157
2015-03-19,-663.9047671251,531.12381370008
2015-03-20,-190.3534990635839,152.28279925086713
2015-03-23,-154.59768154052585,123.67814523242069
2015-03-24,533.1511696459078,-426.5209357167262
2015-03-25,100.56225882611523,-80.44980706089218
2015-03-26,-2339.070406712315,1871.2563253698522
2015-03-27,-303.2095588426163,242.56764707409303
2015-03-30,3187.86701320327,-2550.293610562616
2015-03-31,-126.93356440161344,101.54685152129076
2015-04-01,2683.1171931953063,-2146.493754556245
2015-04-06,1158.7266438750457,-926.9813151000367
